937,77378,ZCTA5 77378,8845,1523,16,64,0,505,6464,1821,4187,5510,8039,8460,11501,13814,15236,3483,1686,583,0,0,0,0,34,2532,924,20.0,31.3,55.1,0.0,0.0,0.0,-,6.7,39.2,10.4
939,77380,ZCTA5 77380,16622,2223,26,1493,0,664,4922,894,3220,3832,5427,6064,9874,12753,15270,2061,591,41,494,26,38,0,68,717,765,8.0,13.4,2.9,22.2,100.0,2.5,-,10.2,14.6,4.6
943,77385,ZCTA5 77385,15355,1291,256,1418,0,852,6570,460,2353,2997,3847,4614,8269,11573,14343,1418,350,35,189,19,34,0,200,335,860,5.7,5.1,1.7,14.6,7.4,2.4,-,23.5,5.1,5.6
947,77396,ZCTA5 77396,10839,19374,151,1672,106,4840,22909,2760,7371,9978,14758,15685,24004,33629,40982,6094,2382,521,1538,0,114,29,883,3852,638,10.9,15.6,11.0,7.9,0.0,6.8,27.4,18.2,16.8,5.9
952,77414,ZCTA5 77414,9544,3459,73,194,115,4389,10035,2474,6271,7684,9007,9450,13946,16619,18771,4563,1959,433,1267,6,36,88,828,2143,983,19.3,31.8,25.1,36.6,8.2,18.6,76.5,18.9,21.4,10.3
954,77417,ZCTA5 77417,585,739,117,0,0,83,1211,364,839,889,1161,1192,1627,2075,2226,609,87,0,144,0,0,0,0,370,69,23.9,15.8,0.0,19.5,0.0,-,-,0.0,30.6,11.8
959,77423,ZCTA5 77423,4670,2005,268,195,0,2205,5183,566,2066,2627,3394,3952,6415,8310,9555,1662,468,82,344,0,0,0,433,877,441,13.6,13.9,8.6,17.2,0.0,0.0,-,19.6,16.9,9.4
975,77445,ZCTA5 77445,4833,4249,77,77,0,2717,4764,989,3873,5198,7400,7454,9414,10826,11826,2896,1296,589,999,0,0,0,837,1076,762,20.5,30.8,45.8,23.5,0.0,0.0,-,30.8,22.6,15.8
977,77447,ZCTA5 77447,8202,1346,0,311,15,2241,5934,640,2637,2832,3982,4187,6793,9434,11381,2055,920,189,201,0,0,0,129,1172,586,12.9,19.9,15.4,14.9,-,0.0,0.0,5.8,19.8,7.1
988,77459,ZCTA5 77459,25293,19310,227,16598,108,1880,9455,1484,2946,4059,6448,7497,16291,25185,34265,2298,454,79,346,0,499,0,84,340,1118,3.2,2.4,1.7,1.8,0.0,3.0,0.0,4.5,3.6,4.4
996,77469,ZCTA5 77469,17831,9788,143,6351,12,2119,17447,1709,5924,8776,10777,12025,20756,28388,34285,3635,1165,346,770,0,141,12,292,1817,883,6.9,8.8,11.3,7.9,0.0,2.2,100.0,13.8,10.4,5.0
998,77471,ZCTA5 77471,9710,5804,68,563,7,3212,24799,3124,9080,11832,16818,18201,26915,31889,35459,6240,2816,1092,674,10,147,0,1294,5065,315,15.2,22.9,30.1,11.6,14.7,26.1,0.0,40.3,20.4,3.2
1000,77474,ZCTA5 77474,6735,952,0,16,0,1939,4492,353,1833,2214,2993,3374,6565,8199,9315,1610,615,262,301,0,0,0,625,848,480,13.0,18.2,27.8,31.6,-,0.0,-,32.2,18.9,7.1
1003,77477,ZCTA5 77477,7030,9999,0,8510,0,2682,9484,1947,6612,8373,10585,11372,17963,24365,29542,5349,1701,334,1532,0,1108,0,575,1752,846,14.9,21.6,18.2,15.3,-,13.0,-,21.4,18.5,12.0
1004,77478,ZCTA5 77478,12533,1551,114,8296,0,621,2695,1398,2378,2929,4015,4452,7228,11085,13434,1840,246,83,27,19,539,0,43,220,980,7.2,6.0,9.7,1.7,16.7,6.5,-,6.9,8.2,7.8
1006,77480,ZCTA5 77480,5411,759,0,0,0,441,1766,501,1606,2021,2443,2575,4321,5414,6206,1269,582,76,348,0,0,0,56,372,549,15.9,27.7,15.4,45.8,-,-,-,12.7,21.1,10.1
1007,77481,ZCTA5 77481,10,25,0,0,0,0,0,0,23,23,23,23,25,25,25,23,0,0,23,0,0,0,0,0,0,65.7,-,-,92.0,-,-,-,-,-,0.0
1010,77484,ZCTA5 77484,6937,749,83,86,0,1039,3036,948,1860,2477,3020,3231,5687,7181,8621,1377,454,292,256,0,30,0,144,440,651,12.7,16.5,38.6,34.2,0.0,34.9,-,13.9,14.5,9.4
1015,77493,ZCTA5 77493,18444,3239,205,1205,0,3136,12640,679,3394,5046,6462,7556,13482,18173,22689,1800,570,131,72,51,35,0,424,1099,473,5.0,5.6,4.3,2.2,24.9,2.9,-,13.5,8.7,2.6
1016,77494,ZCTA5 77494,54202,10047,1015,23352,25,3219,27274,3027,6675,8142,10976,11963,17661,28593,45760,4944,1213,379,650,0,1072,0,13,1888,1321,4.2,3.1,4.3,6.5,0.0,4.6,0.0,0.4,6.9,2.4
1019,77503,ZCTA5 77503,6527,773,252,42,19,787,17074,1174,5765,7302,9809,10623,17088,20077,21516,3667,1352,429,333,24,26,0,39,2508,760,14.9,17.0,19.2,43.1,9.5,61.9,0.0,5.0,14.7,11.6
1022,77506,ZCTA5 77506,3066,525,466,74,0,1075,34693,3068,12087,15411,19862,21955,30604,33828,35944,8891,4210,1525,114,134,0,0,236,8256,521,23.0,32.9,40.0,21.7,28.8,0.0,-,22.0,23.8,17.0
1023,77507,ZCTA5 77507,213,45,0,0,0,14,54,60,60,100,100,123,143,188,237,60,0,0,0,0,0,0,0,0,60,19.2,0.0,-,0.0,-,-,-,0.0,0.0,28.2
1025,77511,ZCTA5 77511,26461,1100,76,494,13,1325,18908,1891,7741,9818,14205,15268,23251,30513,36470,5931,2187,739,210,0,2,0,552,3424,2255,12.5,17.5,19.8,19.1,0.0,0.4,0.0,41.7,18.1,8.5
1027,77515,ZCTA5 77515,16400,2314,194,618,0,1857,9203,1832,4544,5653,6991,7763,13398,18091,21255,3356,1226,277,585,0,54,0,180,1390,1351,11.5,17.5,20.0,25.3,0.0,8.7,-,9.7,15.1,8.2
1031,77520,ZCTA5 77520,10343,4546,23,258,29,3529,19305,2250,8410,10133,12910,13823,21790,26415,29143,6362,2468,827,1053,11,11,22,301,3581,1639,18.1,25.3,26.9,23.2,47.8,4.3,75.9,8.5,18.5,15.8
1032,77521,ZCTA5 77521,19766,12046,397,1460,31,1944,25203,3463,8723,11402,15803,16891,27907,36951,45655,7192,3011,939,2375,42,162,0,132,3189,1108,12.1,17.7,18.9,19.7,10.6,11.1,0.0,6.8,12.7,5.6
1033,77523,ZCTA5 77523,15286,1600,47,157,0,187,5933,1580,3158,3912,4461,4659,6678,9180,11481,2730,1495,449,138,0,0,0,0,1864,708,11.6,20.2,26.0,8.6,0.0,0.0,-,0.0,31.4,4.6
1034,77530,ZCTA5 77530,6267,4154,0,62,0,1082,22527,3168,8599,10645,13354,14063,20371,26794,29216,5650,2585,699,298,0,0,0,178,4220,1087,16.9,24.4,26.9,7.2,-,0.0,-,16.5,18.7,17.3
1039,77535,ZCTA5 77535,19367,2124,193,249,0,1572,5952,739,4450,5410,6891,7947,14768,19248,21891,2908,1069,276,439,30,37,0,129,844,1513,10.3,14.4,16.0,20.7,15.5,14.9,-,8.2,14.2,7.8
1040,77536,ZCTA5 77536,18515,462,294,527,0,897,11906,1044,2795,4009,5969,6653,11761,17467,21405,2375,849,333,146,7,0,0,78,1054,1015,7.5,11.2,18.4,31.6,2.4,0.0,-,8.7,8.9,5.5
1042,77539,ZCTA5 77539,24211,3615,314,1361,9,1976,14522,2280,8942,10551,13031,13541,19576,24827,29629,6986,2543,625,318,146,59,0,633,4286,2198,15.5,23.5,22.5,8.8,46.5,4.3,0.0,32.0,29.5,9.1
1043,77541,ZCTA5 77541,6545,2025,380,122,0,1690,9460,1763,5023,6284,8379,9889,12439,14449,15594,4156,1773,295,662,0,7,0,271,2368,1098,22.4,30.7,23.9,32.7,0.0,5.7,-,16.0,25.0,16.8
1044,77545,ZCTA5 77545,954,14478,0,376,0,3101,8966,541,3779,4824,6504,6964,11499,15470,19123,1620,443,162,782,0,0,0,638,725,113,6.5,6.0,6.1,5.4,-,0.0,-,20.6,8.1,11.8
1046,77547,ZCTA5 77547,808,1019,103,0,0,963,8019,1141,3617,4555,5191,5605,7223,8256,8846,3159,1539,245,270,0,0,0,160,2687,202,32.0,48.9,37.3,26.5,0.0,-,-,16.6,33.5,25.0
1049,77554,ZCTA5 77554,6370,62,9,170,0,6,1102,298,672,891,1401,1486,2334,3194,4437,576,58,17,27,0,14,0,3,116,413,7.4,6.9,9.5,43.5,0.0,8.2,-,50.0,10.5,6.5
1058,77571,ZCTA5 77571,21132,2218,158,439,0,1671,12618,1266,4789,6535,7869,9054,15726,21496,25037,3554,1228,361,295,29,98,0,565,1428,1721,9.5,14.9,14.9,13.3,18.4,22.3,-,33.8,11.3,8.1
1062,77578,ZCTA5 77578,9997,5437,295,1866,0,1228,5089,538,1852,2515,4499,4499,7713,9958,12413,1268,341,81,365,0,273,0,0,58,572,5.6,5.0,5.9,6.7,0.0,14.6,-,0.0,1.1,5.7
1063,77580,ZCTA5 77580,1012,74,0,0,0,0,0,0,0,170,232,232,277,379,563,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-,-,-,-,-,0.0
1064,77581,ZCTA5 77581,26580,4822,441,3006,0,936,12909,1646,3311,4228,5318,5801,12339,19587,27034,2640,722,90,249,25,235,0,169,728,1391,5.5,5.5,2.6,5.2,5.7,7.8,-,18.1,5.6,5.2
1065,77583,ZCTA5 77583,9337,7675,75,2067,3,3068,14942,1605,6316,7708,10442,11056,15340,21975,24837,4080,1392,198,150,4,200,3,989,3235,470,11.9,12.9,5.9,2.0,5.3,9.7,100.0,32.2,21.7,5.0
1066,77584,ZCTA5 77584,31610,20375,712,16638,0,2586,19020,1600,3763,5654,8852,9533,21430,35394,45223,3235,859,89,607,0,567,0,300,1151,846,3.6,3.5,1.2,3.0,0.0,3.4,-,11.6,6.1,2.7
1068,77586,ZCTA5 77586,16559,937,71,492,0,112,4037,727,2204,2441,3087,3541,6242,8706,11071,1618,365,84,215,23,64,0,0,484,913,7.2,7.5,7.2,22.9,32.4,13.0,-,0.0,12.0,5.5
1069,77587,ZCTA5 77587,1215,143,137,21,0,2354,15476,1345,4695,6024,7897,8881,11873,14684,15931,3644,1698,550,15,0,0,0,464,3490,128,21.6,30.8,30.9,10.5,0.0,0.0,-,19.7,22.6,10.5
1070,77590,ZCTA5 77590,13006,6311,148,107,95,737,10611,1903,9231,11404,13194,14377,19581,23497,25831,7144,3147,1054,2007,67,19,0,160,2601,2269,22.8,39.3,51.2,31.8,45.3,17.8,0.0,21.7,24.5,17.4
1078,77615,ZCTA5 77615,926,0,0,18,0,5,5,18,59,119,188,188,422,733,763,18,0,0,0,0,0,0,0,0,9,1.7,0.0,0.0,-,-,0.0,-,0.0,0.0,1.0
1086,77627,ZCTA5 77627,17277,958,0,763,0,354,2331,391,2123,3015,4130,4388,7109,10537,14016,1413,361,78,52,0,20,0,0,354,987,6.5,6.8,5.0,5.4,-,2.6,-,0.0,15.2,5.7
1088,77630,ZCTA5 77630,18445,6132,0,204,0,267,2780,1932,5484,7423,8754,10160,14549,18029,21197,4438,1660,433,1413,0,47,0,43,780,2029,15.7,23.2,23.6,23.0,-,23.0,-,16.1,28.1,11.0
1089,77632,ZCTA5 77632,19554,1005,256,551,0,90,1169,1393,4122,4655,5420,6191,9857,13898,16178,3135,1049,473,410,64,186,0,9,328,2164,13.8,20.2,30.0,40.8,25.0,33.8,-,10.0,28.1,11.1
1090,77640,ZCTA5 77640,3297,9646,6,347,11,443,2016,2072,5105,5962,7090,7746,10588,12628,13741,4049,1578,377,3062,0,22,0,110,379,560,26.2,45.6,44.8,31.7,0.0,6.3,0.0,24.8,18.8,17.0
1091,77642,ZCTA5 77642,6526,11024,298,3627,47,805,16887,4767,13558,16071,19387,20688,28287,32081,34037,10731,4310,1200,3786,47,1206,0,294,4587,938,27.8,38.7,41.0,34.3,15.8,33.3,0.0,36.5,27.2,14.4
1093,77651,ZCTA5 77651,10034,421,0,441,24,172,1427,675,1645,2258,2963,3116,5105,6894,8685,1358,509,35,0,0,229,0,0,356,688,10.6,16.8,6.2,0.0,-,51.9,0.0,0.0,24.9,6.9
1095,77656,ZCTA5 77656,12715,2110,20,129,0,96,904,837,2741,3423,4521,5377,8797,11397,12780,2146,569,98,563,20,0,0,0,16,1487,13.3,15.4,11.2,26.7,100.0,0.0,-,0.0,1.8,11.7
1100,77662,ZCTA5 77662,23294,6,27,95,0,134,2180,1999,4465,5836,6954,7574,12142,16077,19501,3467,962,195,5,0,0,0,26,80,3227,13.3,15.6,11.0,83.3,0.0,0.0,-,19.4,3.7,13.9
1103,77665,ZCTA5 77665,5368,190,49,9,0,30,368,550,1057,1227,1494,1809,2997,3825,4635,808,177,0,11,30,9,0,22,68,720,13.3,13.6,0.0,5.8,61.2,100.0,-,73.3,18.5,13.4
1104,77701,ZCTA5 77701,1984,6706,0,328,0,516,4324,1813,4387,5689,7129,7541,10608,11727,12580,3263,1275,461,1819,0,3,0,138,1084,364,24.4,35.7,45.9,27.1,-,0.9,-,26.7,25.1,18.3
1107,77705,ZCTA5 77705,8558,11867,142,651,7,529,3616,2657,6447,7780,10144,10691,14957,18828,20947,5206,1675,241,3161,45,452,0,120,771,728,20.7,28.9,13.3,26.6,31.7,69.4,0.0,22.7,21.3,8.5
1111,77713,ZCTA5 77713,8137,3837,70,482,3,31,1437,486,886,1530,2489,2814,5280,7359,9182,712,47,33,133,25,53,0,21,34,457,5.0,1.8,3.6,3.5,35.7,11.0,0.0,67.7,2.4,5.6
1112,77801,ZCTA5 77801,5720,2378,79,715,41,1034,5956,3594,6739,8004,9297,9683,12285,13151,14060,5982,1703,507,1273,0,410,0,434,1736,2460,39.8,50.2,50.6,53.5,0.0,57.3,0.0,42.0,29.1,43.0
1114,77803,ZCTA5 77803,4366,7353,14,37,32,2522,18831,2457,10713,12566,15663,16827,22852,26900,28812,7775,3726,1261,2823,0,18,11,922,3972,803,25.3,37.5,42.6,38.4,0.0,48.6,34.4,36.6,21.1,18.4
1115,77807,ZCTA5 77807,5001,1128,325,340,0,619,3618,566,2153,2434,3131,3667,5201,6486,7927,1642,498,245,339,0,188,0,274,396,655,16.0,16.9,27.2,30.1,0.0,55.3,-,44.3,10.9,13.1
1119,77833,ZCTA5 77833,17320,3768,41,578,0,279,4960,1543,5009,6366,8512,9121,13618,17326,19985,3460,1175,284,1004,0,200,0,56,1230,948,12.8,19.0,15.3,26.6,0.0,34.6,-,20.1,24.8,5.5
1127,77856,ZCTA5 77856,4028,508,39,16,0,0,453,110,728,922,1306,1383,2321,3413,4018,442,103,4,135,0,0,0,0,14,277,8.6,8.2,2.1,26.6,0.0,0.0,-,-,3.1,6.9
1134,77868,ZCTA5 77868,6154,2595,4,0,0,841,4626,1061,3572,4501,5274,5521,8140,9672,11368,2557,1026,260,712,0,0,0,339,1100,726,18.9,27.0,25.2,27.4,0.0,-,-,40.3,23.8,11.8
1140,77879,ZCTA5 77879,3377,1060,43,0,0,337,1067,480,1302,1537,1736,1807,3128,4121,4676,922,391,98,365,0,0,0,0,144,410,16.4,33.0,28.1,34.4,0.0,-,-,0.0,13.5,12.1
1144,77905,ZCTA5 77905,10049,325,0,0,0,288,4184,357,1569,2251,2757,2907,5287,8419,10176,1136,371,95,0,0,0,0,0,581,534,7.7,10.6,10.7,0.0,-,-,-,0.0,13.9,5.3
1149,77960,ZCTA5 77960,28,0,0,0,0,0,37,0,28,28,28,28,28,28,65,28,0,0,0,0,0,0,0,0,28,43.1,-,-,-,-,-,-,-,0.0,100.0
1163,77978,ZCTA5 77978,395,44,0,10,0,0,204,71,147,162,202,259,342,492,558,86,0,0,37,0,2,0,0,4,43,12.4,0.0,0.0,84.1,-,20.0,-,-,2.0,10.9
1164,77979,ZCTA5 77979,6455,524,12,1104,7,343,9540,671,3503,4676,6138,6615,9806,12076,13981,2335,878,314,120,0,370,7,44,1388,454,13.3,20.0,29.0,22.9,0.0,33.5,100.0,12.8,14.5,7.0
1166,77983,ZCTA5 77983,1348,0,0,69,0,0,583,81,482,510,819,845,1144,1374,1629,310,90,41,0,0,17,0,0,159,120,15.2,16.9,21.7,-,-,24.6,-,-,27.3,8.9
1186,78012,ZCTA5 78012,65,0,0,0,0,25,202,5,22,49,69,73,113,167,194,20,7,4,0,0,0,0,0,16,4,7.5,11.3,21.1,-,-,-,-,0.0,7.9,6.2
1189,78015,ZCTA5 78015,11368,415,47,253,0,466,3223,453,712,755,1184,1268,2906,4897,6716,625,227,53,3,15,0,0,0,264,331,4.0,5.3,8.1,0.7,31.9,0.0,-,0.0,8.2,2.9
1191,78017,ZCTA5 78017,752,0,0,15,0,73,2865,232,875,880,1351,1394,2415,2813,3144,854,415,115,0,0,0,0,10,811,43,23.3,37.7,24.1,-,-,0.0,-,13.7,28.3,5.7
1204,78041,ZCTA5 78041,2247,490,116,385,0,956,43351,5334,13414,16810,20525,21541,28351,34327,38142,10254,4349,1418,111,27,70,0,108,9954,149,22.1,33.0,35.8,22.7,23.3,18.2,-,11.3,23.0,6.6
1207,78045,ZCTA5 78045,3877,246,178,450,0,1470,61835,3096,9323,12043,17701,20038,31658,42164,49969,6888,2819,939,2,1,156,0,162,6379,222,10.3,13.4,17.9,0.8,0.6,34.7,-,11.0,10.3,5.7
1219,78064,ZCTA5 78064,7137,61,0,86,0,305,8091,598,2337,2937,4253,4694,7096,10506,11748,1885,750,240,0,0,0,0,93,1186,602,12.0,16.6,16.7,0.0,-,0.0,-,30.5,14.7,8.4
1225,78071,ZCTA5 78071,1688,0,0,131,0,0,1363,205,613,741,882,1156,1881,2109,2331,483,128,55,0,0,0,0,0,333,150,15.2,14.8,22.9,-,-,0.0,-,-,24.4,8.9
1227,78073,ZCTA5 78073,1493,130,23,14,0,316,6791,1126,2077,2465,3260,4232,5826,7189,7908,1668,732,132,34,13,0,0,65,1489,145,19.4,29.7,20.5,26.2,56.5,0.0,-,20.6,21.9,9.7
1236,78112,ZCTA5 78112,1897,60,131,28,0,754,6338,362,1642,2141,3034,3585,5782,7387,7858,890,223,66,0,37,0,0,83,738,151,10.5,9.9,10.4,0.0,28.2,0.0,-,11.0,11.6,8.0
1238,78114,ZCTA5 78114,10877,330,95,136,0,542,11990,1022,3762,4598,6127,6877,11336,14466,16893,2770,1030,264,104,0,58,0,31,1785,763,11.8,17.7,23.2,31.5,0.0,42.6,-,5.7,14.9,7.0
1241,78118,ZCTA5 78118,1239,76,0,8,0,438,2059,413,810,973,1286,1420,2092,2509,2664,647,147,26,0,0,0,0,125,547,100,19.1,18.6,18.2,0.0,-,0.0,-,28.5,26.6,8.1
1242,78119,ZCTA5 78119,1213,118,26,153,0,750,3448,566,1175,1367,1464,1606,2291,3081,3765,963,432,246,0,0,0,0,184,846,116,19.5,35.2,66.7,0.0,0.0,0.0,-,24.5,24.5,9.6
1249,78132,ZCTA5 78132,23217,1084,29,326,11,727,5917,302,2248,2746,3328,3610,6545,9914,13970,1214,335,113,0,0,16,0,338,608,590,3.9,4.4,5.8,0.0,0.0,4.9,0.0,46.5,10.3,2.5
1251,78140,ZCTA5 78140,796,55,0,0,5,1212,2630,25,722,1168,1530,1537,2275,2767,2885,511,223,46,2,0,0,0,294,486,23,14.7,20.9,17.8,3.6,-,-,0.0,24.3,18.5,2.9
1263,78154,ZCTA5 78154,19372,5196,115,1529,182,3430,12617,952,4058,4966,7001,7826,13500,20103,27049,2366,732,208,421,0,418,49,105,555,886,5.8,6.9,7.7,8.1,0.0,27.3,26.9,3.1,4.4,4.6
1264,78155,ZCTA5 78155,22448,2694,164,668,2,9159,21450,2814,9577,11739,15517,16842,24752,31605,36885,6834,2819,799,830,0,2,0,2610,4324,1848,14.4,24.8,26.3,30.8,0.0,0.3,0.0,28.5,20.2,8.2
1285,78216,ZCTA5 78216,13723,2600,444,1165,17,2179,25273,3522,9371,10954,14326,15795,23975,30602,34626,7462,2934,947,658,164,398,0,490,4690,1661,17.3,31.2,33.5,25.3,36.9,34.2,0.0,22.5,18.6,12.1
1286,78217,ZCTA5 78217,12018,4234,58,997,41,1741,15846,3352,8394,10150,12380,14098,20176,26100,29119,6226,2547,1105,939,0,181,0,162,2747,2008,18.3,32.5,41.4,22.2,0.0,18.2,0.0,9.3,17.3,16.7
1287,78218,ZCTA5 78218,9441,5893,64,1282,3,2278,19963,3224,10096,12888,16273,17943,24224,29191,32028,7565,3105,924,2151,26,515,0,551,3655,1387,20.6,33.8,31.4,36.5,40.6,40.2,0.0,24.2,18.3,14.7
1288,78219,ZCTA5 78219,2649,5342,255,357,0,1496,8609,1638,5370,6685,8377,8652,12192,14368,15828,4105,1582,395,1550,215,76,0,442,2101,309,23.9,32.1,28.1,29.0,84.3,21.3,-,29.5,24.4,11.7
1291,78222,ZCTA5 78222,4336,4753,111,420,7,1844,15070,1709,6200,7671,9627,10349,14954,18814,21113,4893,1843,409,1121,51,15,0,329,3018,751,19.6,24.8,20.6,23.6,45.9,3.6,0.0,17.8,20.0,17.3
1292,78223,ZCTA5 78223,8350,2307,373,495,0,4197,43956,3945,13868,17909,24078,26092,38221,44888,49584,11197,3853,1356,823,163,75,0,682,8758,1583,20.2,25.8,33.5,35.7,43.7,15.2,-,16.2,19.9,19.0
1295,78226,ZCTA5 78226,400,147,248,0,0,561,7208,1334,2921,4158,4544,4748,6021,6892,7572,2433,910,277,52,224,0,0,221,2247,102,31.0,42.9,35.4,35.4,90.3,-,-,39.4,31.2,25.5
1305,78236,ZCTA5 78236,931,341,0,60,97,82,336,0,77,182,271,357,921,1315,1846,13,7,0,0,0,0,0,0,0,13,0.7,0.7,0.0,0.0,-,0.0,0.0,0.0,0.0,1.4
1316,78249,ZCTA5 78249,22596,3685,348,3983,59,2138,27357,5154,11428,13278,16399,17799,26623,34973,41764,10006,1629,444,994,105,805,25,321,4459,3518,17.1,14.8,13.3,27.0,30.2,20.2,42.4,15.0,16.3,15.6
1317,78250,ZCTA5 78250,16801,2979,766,1633,160,2754,38529,2034,6931,8929,13287,15961,28591,38008,45418,4876,1720,452,199,315,186,14,89,3539,879,7.9,11.1,11.3,6.7,41.1,11.4,8.8,3.2,9.2,5.2
1321,78254,ZCTA5 78254,20533,3593,453,1800,201,3977,31686,1703,5256,6884,8771,10583,21294,30932,39559,3852,1238,316,26,15,320,0,245,2498,976,6.6,6.9,6.8,0.7,3.3,17.8,0.0,6.2,7.9,4.8
1329,78263,ZCTA5 78263,2383,416,57,0,43,257,1567,222,657,663,864,950,1363,2278,2987,387,132,0,232,6,0,0,0,32,111,8.7,19.0,0.0,55.8,10.5,-,0.0,0.0,2.0,4.7
1330,78264,ZCTA5 78264,1606,179,0,77,0,768,8524,1062,3153,3990,4470,4926,7387,8495,9486,2918,1234,246,0,0,36,0,332,2553,263,27.6,38.3,34.7,0.0,-,46.8,-,43.2,30.0,16.4
