1331,78266,ZCTA5 78266,3973,867,25,313,14,261,1261,182,183,215,236,236,698,1689,2207,183,0,0,60,0,0,0,0,2,121,2.7,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.2,3.0
1333,78332,ZCTA5 78332,3593,185,201,209,54,576,24349,2527,7429,8865,12333,13656,18071,22263,24585,6646,2751,776,70,47,0,0,121,5695,763,23.3,36.0,39.1,37.8,23.4,0.0,0.0,21.0,23.4,21.2
1335,78336,ZCTA5 78336,6205,378,64,74,0,406,4360,1128,2773,3698,4480,5273,6748,8571,9372,2236,740,296,97,57,43,0,173,1030,931,20.2,26.1,32.8,25.7,89.1,58.1,-,42.6,23.6,15.0
1341,78343,ZCTA5 78343,1056,96,16,0,0,262,3296,266,1128,1360,1428,1530,2271,2812,3326,843,343,122,13,0,0,0,88,668,104,18.7,30.2,40.0,13.5,0.0,-,-,33.6,20.3,9.8
1350,78359,ZCTA5 78359,182,7,0,7,0,18,1757,173,413,619,748,785,1229,1504,1676,298,163,55,1,0,1,0,0,265,32,15.1,32.7,43.0,14.3,-,14.3,-,0.0,15.1,17.6
1352,78362,ZCTA5 78362,4713,299,78,75,0,182,4556,365,1799,2190,3141,3546,5370,7024,7912,945,450,88,28,0,10,0,27,585,181,9.4,15.9,15.5,9.4,0.0,13.3,-,14.8,12.8,3.8
1353,78363,ZCTA5 78363,5238,855,55,687,0,1025,20457,4770,8995,10474,12448,13177,17908,20294,23150,7790,2667,882,356,20,450,0,285,6231,622,28.2,37.3,44.5,41.6,36.4,65.5,-,27.8,30.5,11.9
1360,78374,ZCTA5 78374,9813,235,57,339,31,264,7669,554,1831,2470,3340,4032,6448,9585,11989,1302,443,105,58,0,12,0,22,618,614,7.1,8.9,8.2,24.7,0.0,3.5,0.0,8.3,8.1,6.3
1365,78380,ZCTA5 78380,4847,97,141,15,0,531,19058,2525,6593,7546,9222,10028,14100,17461,20151,5698,2609,773,26,119,0,0,85,5215,338,23.6,38.2,46.3,26.8,84.4,0.0,-,16.0,27.4,7.0
1376,78402,ZCTA5 78402,171,19,0,0,0,0,46,10,45,45,52,79,89,105,196,18,0,0,0,0,0,0,0,0,18,7.6,0.0,-,0.0,-,-,-,-,0.0,10.5
1380,78407,ZCTA5 78407,353,674,0,0,0,25,1650,247,655,864,1248,1324,2014,2202,2412,533,140,72,354,0,0,0,25,159,44,20.1,21.1,43.9,52.5,-,-,-,100.0,9.6,12.5
1382,78409,ZCTA5 78409,653,20,12,0,15,71,2034,102,411,557,717,804,1723,1919,2322,320,117,52,17,0,0,0,15,214,89,11.8,16.7,26.5,85.0,0.0,-,0.0,21.1,10.5,13.6
1383,78410,ZCTA5 78410,10748,292,0,219,0,604,16825,1650,4597,6049,7270,7955,12474,16576,21279,3360,1376,231,84,0,0,0,95,2384,880,11.9,17.0,13.8,28.8,-,0.0,-,15.7,14.2,8.2
1384,78411,ZCTA5 78411,7922,946,161,309,0,249,16425,1898,5698,6380,8461,9037,13627,17691,19943,4572,1481,525,328,12,178,0,51,3149,870,17.7,27.5,35.7,34.7,7.5,57.6,-,20.5,19.2,11.0
1387,78414,ZCTA5 78414,14054,1436,177,2401,30,664,21753,1043,3432,4763,5880,6758,11633,18529,24656,2451,695,281,209,12,85,0,143,1378,715,6.1,6.4,9.1,14.6,6.8,3.5,0.0,21.5,6.3,5.1
1392,78419,ZCTA5 78419,254,197,0,24,0,0,58,0,87,87,107,124,325,413,482,29,16,5,16,0,8,0,0,5,5,5.4,7.3,4.8,8.1,-,33.3,-,-,8.6,2.0
1393,78501,ZCTA5 78501,6362,388,229,1222,59,14760,54473,7007,21353,26758,30567,32895,42162,49415,52990,16305,6335,1692,38,15,18,0,5914,15490,751,26.1,39.8,38.2,9.8,6.6,1.5,0.0,40.1,28.4,11.8
1394,78503,ZCTA5 78503,719,385,0,263,0,8639,19033,2094,8552,10158,12757,13922,16251,18409,19257,7062,3173,540,19,0,0,0,2903,6713,76,33.1,47.4,27.6,4.9,-,0.0,-,33.6,35.3,10.6
1398,78521,ZCTA5 78521,3099,63,70,155,16,2029,87007,12890,40763,47991,56030,59790,73951,82614,86372,31162,14045,4261,12,9,32,0,712,30725,376,34.5,48.6,52.7,19.0,12.9,20.6,0.0,35.1,35.3,12.1
1399,78526,ZCTA5 78526,2703,520,89,845,7,1248,44635,3961,13291,15686,18734,21179,31334,39060,42780,10090,4693,1219,64,0,48,0,477,9724,235,20.7,30.9,28.9,12.3,0.0,5.7,0.0,38.2,21.8,8.7
1411,78550,ZCTA5 78550,7279,480,244,422,12,2675,43487,6417,19900,23200,27144,28859,37160,43287,46178,16494,8191,2662,152,40,54,0,979,15377,1006,31.9,48.3,52.0,31.7,16.4,12.8,0.0,36.6,35.4,13.8
1451,78602,ZCTA5 78602,17671,1528,161,297,0,2618,7659,1295,4793,6123,8981,9323,12869,17717,20081,2799,701,385,381,0,0,0,56,612,1697,10.1,10.1,23.1,24.9,0.0,0.0,-,2.1,8.0,9.6
1457,78610,ZCTA5 78610,19217,1954,76,574,0,1742,15895,768,3058,4338,6480,7433,15622,20558,25752,2403,915,224,64,0,0,0,253,1442,733,6.3,8.5,8.0,3.3,0.0,0.0,-,14.5,9.1,3.8
1458,78611,ZCTA5 78611,9707,112,78,37,0,339,2291,540,2076,2333,3102,3523,5855,7520,9121,1529,448,120,33,9,0,0,162,240,1103,12.3,16.8,17.9,29.5,11.5,0.0,-,47.8,10.5,11.4
1460,78613,ZCTA5 78613,53307,2557,276,7280,96,1694,16092,1731,5646,7238,9790,10470,19293,29405,41009,3884,1300,203,134,0,261,80,19,1338,2014,4.8,5.7,4.3,5.2,0.0,3.6,83.3,1.1,8.3,3.8
1468,78621,ZCTA5 78621,10091,3532,18,164,0,4710,9653,959,3781,4641,6152,6726,11265,15200,17789,2493,994,339,789,0,3,0,539,937,764,10.5,16.1,22.7,22.3,0.0,1.8,-,11.4,9.7,7.6
1472,78626,ZCTA5 78626,19954,2064,73,472,72,1354,11688,960,4552,5774,7474,8701,15266,21074,25038,3374,644,178,202,0,109,0,56,1747,1297,9.7,7.6,7.5,9.8,0.0,23.1,0.0,4.1,14.9,6.5
1477,78633,ZCTA5 78633,22715,330,52,251,17,277,2058,405,1262,1977,2562,2855,5864,8650,12295,875,0,0,1,0,12,0,18,156,706,3.4,0.0,0.0,0.3,0.0,4.8,0.0,6.5,7.6,3.1
1481,78638,ZCTA5 78638,1517,21,0,0,55,250,507,125,505,519,607,647,941,1319,1804,244,40,10,21,0,0,0,18,39,205,11.4,8.2,7.2,100.0,-,-,0.0,7.2,7.7,13.5
1484,78641,ZCTA5 78641,45719,3154,136,3169,82,1282,16691,1755,5732,8052,10578,12594,22702,31486,42379,3559,1040,349,441,19,8,0,65,1247,1838,5.0,5.0,5.9,14.0,14.0,0.3,0.0,5.1,7.5,4.0
1485,78642,ZCTA5 78642,9731,155,23,48,0,312,1920,400,1058,1385,2177,2306,3782,5565,7308,832,206,61,0,0,0,0,27,339,493,6.8,6.7,7.7,0.0,0.0,0.0,-,8.7,17.7,5.1
1487,78644,ZCTA5 78644,7019,710,126,382,0,1807,8502,796,2587,3428,4969,5718,9319,12112,13421,2060,562,83,149,5,0,0,164,1306,559,12.3,14.3,11.0,21.0,4.0,0.0,-,9.1,15.4,8.0
1492,78653,ZCTA5 78653,5785,5376,124,538,0,6012,11836,1521,4582,5473,6972,7643,13424,16829,19009,3203,1157,91,1073,0,205,0,739,1479,415,13.2,14.5,4.4,20.0,0.0,38.1,-,12.3,12.5,7.2
1493,78654,ZCTA5 78654,12153,394,68,143,21,1053,5425,374,2951,4380,5420,6105,8795,11241,14092,2076,670,213,0,2,0,21,2,683,1370,11.4,16.6,21.5,0.0,2.9,0.0,100.0,0.2,12.6,11.3
1502,78664,ZCTA5 78664,28555,8134,41,3765,0,1941,21524,2498,8864,10438,13127,14831,25791,36252,44922,6437,2695,737,1115,0,429,0,134,3076,1591,10.0,16.3,17.1,13.7,0.0,11.4,-,6.9,14.3,5.6
1503,78665,ZCTA5 78665,25654,4830,90,4178,0,1512,12713,747,2814,4148,6115,6961,14268,22806,28884,2141,654,83,325,0,53,0,24,810,953,4.4,4.6,2.3,6.7,0.0,1.3,-,1.6,6.4,3.7
1504,78666,ZCTA5 78666,35130,3692,182,1379,52,3615,34721,12158,25373,28687,33211,36696,49544,60053,65178,21215,3682,1093,1317,0,239,20,963,9673,9834,27.9,28.7,31.5,35.7,0.0,17.3,38.5,26.6,27.9,28.0
1505,78669,ZCTA5 78669,10980,83,10,702,15,97,964,386,706,903,1616,1971,2834,3913,5354,536,50,15,9,0,0,0,22,55,472,4.2,1.7,1.8,10.8,0.0,0.0,0.0,22.7,5.7,4.3
1514,78702,ZCTA5 78702,9388,3564,75,629,11,1702,9179,2841,6105,6737,8230,8937,13000,15313,16695,5160,1766,715,1583,44,158,0,237,2200,1197,22.3,46.3,48.7,44.4,58.7,25.1,0.0,13.9,24.0,12.8
1521,78721,ZCTA5 78721,3135,3077,147,163,0,1882,5568,1707,3799,4434,5367,5814,7987,8960,9884,3031,824,131,916,42,44,0,361,1672,414,25.2,37.7,24.6,29.8,28.6,27.0,-,19.2,30.0,13.2
1524,78724,ZCTA5 78724,2350,5033,325,83,18,7789,17008,2629,6927,8931,12284,13364,18535,20822,22197,5764,2600,833,714,122,0,18,2214,4545,269,23.4,29.9,33.4,14.2,37.5,0.0,100.0,28.4,26.7,11.4
1525,78725,ZCTA5 78725,1572,1406,0,113,0,3372,5284,541,1995,2220,3407,3906,4985,6428,6898,962,356,97,307,0,0,0,340,611,44,11.4,15.1,15.3,21.8,-,0.0,-,10.1,11.6,2.8
1528,78728,ZCTA5 78728,8698,3303,111,1882,0,829,6617,819,3275,3932,5297,5912,9717,12129,14899,2404,880,441,666,0,124,0,118,1128,486,11.4,19.6,25.6,20.2,0.0,6.6,-,14.2,17.0,5.6
1535,78735,ZCTA5 78735,11829,518,0,1589,0,225,3572,380,1588,2006,2422,2638,3941,5620,7056,1334,550,162,10,0,85,0,31,777,462,7.5,12.5,13.4,1.9,-,5.3,-,13.8,21.8,3.9
1543,78745,ZCTA5 78745,31668,2763,364,1769,0,1745,24245,3193,8751,12233,16070,17466,29058,37914,46177,6937,1618,541,440,10,77,0,182,3499,2867,11.2,16.6,15.5,15.9,2.7,4.4,-,10.4,14.4,9.1
1545,78747,ZCTA5 78747,6605,1027,154,737,14,2955,12116,216,1720,2496,4400,4962,8529,13357,15397,1044,407,14,8,23,0,0,29,724,312,5.0,8.4,1.2,0.8,14.9,0.0,0.0,1.0,6.0,4.7
1556,78759,ZCTA5 78759,29254,1544,36,4890,13,727,6075,1100,2937,3720,5143,5599,10327,14929,18512,2403,396,205,414,0,166,0,90,422,1280,5.6,5.2,8.8,26.8,0.0,3.4,0.0,12.4,6.9,4.4
1559,78827,ZCTA5 78827,188,2,0,1,0,29,972,151,331,417,581,611,843,950,1009,299,98,55,2,0,0,0,0,231,66,25.5,32.6,84.6,100.0,-,0.0,-,0.0,23.8,35.1
1565,78834,ZCTA5 78834,899,0,0,133,0,793,6857,544,3612,3900,4453,5079,5484,6649,6999,2742,1372,284,0,0,0,0,424,2453,289,34.5,53.5,44.4,-,-,0.0,-,53.5,35.8,32.1
1567,78837,ZCTA5 78837,104,0,0,0,0,0,126,8,96,96,118,140,162,207,207,96,16,16,0,0,0,0,0,96,0,41.7,32.7,100.0,-,-,-,-,-,76.2,0.0
1570,78840,ZCTA5 78840,6634,564,170,369,12,1796,38684,4328,13872,17380,20884,21945,30086,35352,39872,9379,3916,1463,70,51,17,0,342,8495,797,20.1,28.5,35.7,12.4,30.0,4.6,0.0,19.0,22.0,12.0
1571,78843,ZCTA5 78843,17,33,0,0,0,0,21,0,0,0,0,0,54,54,71,0,0,0,0,0,0,0,0,0,0,0.0,-,-,0.0,-,-,-,-,0.0,0.0
1574,78852,ZCTA5 78852,1264,270,805,318,24,2190,54347,5618,19345,24260,29257,31290,41609,47976,51819,15469,6707,2230,0,196,1,24,532,14987,264,27.2,37.2,42.0,0.0,24.3,0.3,100.0,24.3,27.6,20.9
1576,78861,ZCTA5 78861,5278,6,34,170,0,544,5934,425,1528,2063,2564,3180,5767,7968,9427,799,229,116,6,0,0,0,12,378,415,6.9,7.5,15.6,100.0,0.0,0.0,-,2.2,6.4,7.9
1597,78942,ZCTA5 78942,4561,823,0,135,0,531,2989,544,1604,2463,3371,3433,4689,5509,6730,1144,426,192,341,0,0,0,62,488,305,13.3,20.7,32.1,41.4,-,0.0,-,11.7,16.3,6.7
1600,78945,ZCTA5 78945,7448,585,0,93,0,404,2420,340,2042,2593,2729,2912,5095,7037,8174,1537,439,123,512,0,0,0,0,430,595,14.5,18.3,19.1,87.5,-,0.0,-,0.0,17.8,8.0
1612,78962,ZCTA5 78962,3289,750,16,3,0,458,1004,103,574,733,1182,1388,2268,3032,3471,281,28,17,85,0,0,0,41,91,105,5.5,2.5,5.8,11.3,0.0,0.0,-,9.0,9.1,3.2
1617,79007,ZCTA5 79007,9418,202,228,50,135,371,3997,914,3313,3692,4678,5059,8194,9933,11143,2111,795,262,58,5,11,135,33,472,1410,14.9,21.0,24.5,28.7,2.2,22.0,100.0,8.9,11.8,15.0
1634,79031,ZCTA5 79031,642,30,0,0,0,21,691,66,223,326,506,571,806,1099,1213,102,11,0,0,0,0,0,0,61,41,7.4,2.9,0.0,0.0,-,-,-,0.0,8.8,6.4
1646,79045,ZCTA5 79045,4359,169,120,117,18,764,13775,1121,4081,5384,7215,7536,11934,14701,16095,2950,1292,448,36,22,28,0,90,2428,428,15.9,22.4,28.1,21.3,18.3,23.9,0.0,11.8,17.6,9.8
1660,79065,ZCTA5 79065,12032,572,260,97,45,1118,5705,900,4389,5871,6907,7801,10701,12978,15012,3018,1097,432,168,140,0,0,209,1436,1317,15.9,21.6,30.4,29.4,53.8,0.0,0.0,18.7,25.2,10.9
1661,79068,ZCTA5 79068,2969,42,29,4,0,39,384,173,432,561,703,736,1083,1602,2050,228,135,46,0,0,0,0,0,25,203,6.6,15.3,17.8,0.0,0.0,0.0,-,0.0,6.5,6.8
1663,79072,ZCTA5 79072,7532,1150,228,85,0,1091,15417,1428,5344,6863,9194,10350,15531,18808,21142,3957,1399,517,173,10,0,0,247,2992,776,16.2,19.9,28.0,15.0,4.4,0.0,-,22.6,19.4,10.3
1672,79086,ZCTA5 79086,1042,0,36,28,0,73,1090,73,449,576,917,958,1319,1508,1808,275,140,77,0,0,17,0,0,165,86,12.3,20.2,38.5,-,0.0,60.7,-,0.0,15.1,8.3
1690,79108,ZCTA5 79108,7376,340,108,37,0,49,2838,742,2185,2865,3550,4078,6017,8001,8876,1970,889,335,246,0,9,0,12,1003,675,18.3,33.4,45.5,72.4,0.0,24.3,-,24.5,35.3,9.2
1692,79110,ZCTA5 79110,11967,552,188,187,38,730,5884,412,2910,4479,5525,5934,9606,14029,15879,2353,887,230,203,15,53,0,15,963,1123,12.4,16.1,13.4,36.8,8.0,28.3,0.0,2.1,16.4,9.4
1694,79118,ZCTA5 79118,15961,320,78,528,41,617,5506,651,2317,2768,3485,3731,8073,11811,15912,1301,400,125,60,25,56,0,0,573,580,5.7,7.1,8.0,18.8,32.1,10.6,0.0,0.0,10.4,3.6
1732,79316,ZCTA5 79316,4041,417,15,2,0,219,5828,877,3064,3824,4605,4855,7147,7970,8387,2084,1038,340,80,0,0,0,11,1448,559,20.2,33.7,36.2,19.2,0.0,0.0,-,5.0,24.8,13.8
1734,79323,ZCTA5 79323,2125,38,15,0,0,89,4977,343,575,1527,1863,1894,3544,4320,5409,526,171,51,0,0,0,0,56,376,150,7.3,6.9,7.1,0.0,0.0,-,-,62.9,7.6,7.1
1741,79336,ZCTA5 79336,6986,545,71,39,21,1023,8634,1202,3291,4404,6194,6916,10306,12445,13546,2702,970,225,210,0,7,0,268,1726,691,16.4,22.4,20.2,38.5,0.0,17.9,0.0,26.2,20.0,9.9
1757,79360,ZCTA5 79360,10497,337,57,102,9,330,5574,1616,3238,3728,5430,6688,9477,11798,13382,2630,1084,190,23,0,0,0,89,1096,1534,15.9,18.4,10.5,6.8,0.0,0.0,0.0,27.0,19.7,14.6
1759,79364,ZCTA5 79364,4048,211,30,0,0,514,3206,536,1522,2360,3071,3370,4688,5164,6367,1075,462,19,17,0,0,0,126,863,188,14.2,23.2,2.7,8.1,0.0,-,-,24.5,26.9,4.6
1773,79382,ZCTA5 79382,5855,142,52,43,0,410,1780,379,1027,1137,1774,2016,3057,3824,5557,980,481,82,110,0,29,0,26,324,404,12.0,17.1,11.5,77.5,0.0,67.4,-,6.3,18.2,6.9
1775,79403,ZCTA5 79403,3528,4375,419,65,7,993,8035,1819,5876,7175,8310,8920,12214,14063,15003,4093,1861,568,1033,175,0,0,566,2350,476,25.2,37.3,39.5,23.6,41.8,0.0,0.0,57.0,29.2,13.5
1778,79407,ZCTA5 79407,12025,1247,167,826,121,816,7719,1905,5070,6945,8345,9034,13030,15201,17477,4119,1226,447,368,65,296,0,182,1402,1894,18.6,23.3,36.3,29.5,38.9,35.8,0.0,22.3,18.2,15.8
1784,79415,ZCTA5 79415,4628,1612,474,880,20,1784,10317,2923,6992,7836,9895,10363,12957,15206,15710,5547,1633,324,822,221,655,0,471,2873,1269,31.7,39.4,29.8,51.0,46.6,74.4,0.0,26.4,27.8,27.4
1804,79526,ZCTA5 79526,600,0,4,0,0,28,233,12,108,158,235,247,426,557,636,71,24,24,0,0,0,0,0,5,66,8.5,14.5,51.1,-,0.0,-,-,0.0,2.1,11.0
1825,79549,ZCTA5 79549,7333,476,0,21,0,598,5906,383,3120,4050,4562,5101,7622,9756,11311,2088,718,266,51,0,0,0,71,1225,770,15.0,18.7,25.2,10.7,-,0.0,-,11.9,20.7,10.5
1827,79556,ZCTA5 79556,6907,845,56,39,0,523,4699,856,2789,3637,4771,5378,8037,9646,10499,2056,685,207,209,33,0,0,43,926,880,16.4,20.4,21.2,24.7,58.9,0.0,-,8.2,19.7,12.7
1835,79601,ZCTA5 79601,11585,1788,46,310,0,1407,3991,1536,5196,6411,7642,8081,11095,13853,15533,4179,919,360,337,21,43,0,669,1347,2319,23.0,23.7,32.0,18.8,45.7,13.9,-,47.5,33.8,20.0
1836,79602,ZCTA5 79602,16524,1381,105,395,0,2229,5259,1129,3838,4759,6278,7364,11394,15326,18177,2940,1079,208,529,0,39,0,371,858,1526,12.2,15.7,10.0,38.3,0.0,9.9,-,16.6,16.3,9.2
1837,79603,ZCTA5 79603,9508,2372,339,331,0,4615,10753,2180,7220,8424,9974,11029,15619,18823,21158,4851,1773,680,576,120,32,0,826,2195,1953,21.0,28.4,37.3,24.3,35.4,9.7,-,17.9,20.4,20.5
1839,79606,ZCTA5 79606,17479,1505,84,1210,0,1407,4043,998,3397,4113,5479,6262,10929,14914,17638,2339,704,288,223,0,133,0,360,555,1396,9.4,11.8,14.5,14.8,0.0,11.0,-,25.6,13.7,8.0
1843,79703,ZCTA5 79703,7917,1889,166,618,12,1693,13187,1163,2498,3390,4930,5604,10511,14697,18021,1742,467,316,229,9,0,0,93,747,782,7.4,7.3,18.4,12.1,5.4,0.0,0.0,5.5,5.7,9.9
1845,79706,ZCTA5 79706,11964,391,101,100,0,1372,12701,631,2298,2603,4352,4638,10940,15051,17989,1836,1022,182,8,0,0,0,0,1342,486,7.2,11.3,7.4,2.0,0.0,0.0,-,0.0,10.6,4.1
1846,79707,ZCTA5 79707,24634,1868,170,1577,62,1803,10758,1567,3648,4573,5414,5745,10353,16110,19692,2834,958,435,18,0,24,0,711,1775,1017,7.2,9.3,13.2,1.0,0.0,1.5,0.0,39.4,16.5,4.1
1848,79714,ZCTA5 79714,7171,110,0,65,31,1093,10129,814,2348,3252,4155,4646,7586,11843,13775,1647,673,167,0,0,0,0,225,1408,239,9.2,11.9,10.9,0.0,-,0.0,0.0,20.6,13.9,3.3
1851,79720,ZCTA5 79720,15946,1678,340,184,0,1857,11637,2470,7019,8362,10553,10881,17083,21579,24248,5294,1592,604,824,118,3,0,241,2575,1975,17.5,20.9,27.1,49.1,34.7,1.6,-,13.0,22.1,12.4
1869,79756,ZCTA5 79756,3699,434,136,111,0,551,5114,615,1591,2346,2788,3372,5049,6337,7291,1202,440,140,44,13,0,0,51,876,282,12.7,17.4,18.9,10.1,9.6,0.0,-,9.3,17.1,7.6
1873,79762,ZCTA5 79762,19022,2681,377,534,0,2226,20463,1813,5246,7022,9890,11044,18321,26411,31964,3960,1287,531,282,50,10,0,310,2488,1108,9.1,10.9,16.3,10.5,13.3,1.9,-,13.9,12.2,5.8
1874,79763,ZCTA5 79763,7313,1460,74,295,0,4748,29384,2410,7578,10359,13809,14437,23216,29124,32847,5558,2170,526,166,0,129,0,741,4266,1087,14.4,17.3,15.6,11.4,0.0,43.7,-,15.6,14.5,14.9
1875,79764,ZCTA5 79764,6540,642,85,94,26,2645,14586,1500,3802,5174,7107,7771,12153,15257,17822,2978,1227,403,64,31,27,26,435,2111,750,13.5,18.5,22.4,10.0,36.5,28.7,100.0,16.4,14.5,11.5
1876,79765,ZCTA5 79765,7538,211,67,938,0,1830,7457,416,1117,1372,1782,1936,4208,6561,8493,1002,350,79,96,0,0,0,89,437,469,6.1,7.8,4.0,45.5,0.0,0.0,-,4.9,5.9,6.2
1877,79766,ZCTA5 79766,1360,2,85,0,0,1115,5769,1103,1740,2502,2948,3067,4152,4783,5817,1424,758,292,2,0,0,0,415,1181,241,19.9,27.7,28.7,100.0,0.0,-,-,37.2,20.5,17.7
1884,79782,ZCTA5 79782,2139,34,115,0,0,853,2258,91,625,892,1245,1496,2009,2873,3133,387,185,49,0,0,0,0,88,318,69,8.7,13.5,14.4,0.0,0.0,-,-,10.3,14.1,3.2
1893,79835,ZCTA5 79835,676,101,0,60,0,2956,10337,1411,4550,5080,6458,6844,8149,9600,10239,3815,1703,469,2,0,0,0,1727,3677,127,34.1,48.2,54.5,2.0,-,0.0,-,58.4,35.6,18.8
1899,79843,ZCTA5 79843,789,0,189,0,0,5,1526,50,443,687,916,941,1374,1519,1756,304,98,47,0,53,0,0,0,267,37,12.4,17.7,57.3,-,28.0,-,-,0.0,17.5,4.7
1914,79905,ZCTA5 79905,366,29,112,25,0,3993,21012,2978,9973,11912,14303,14807,18504,19947,20639,7862,2933,865,3,53,8,0,1577,7791,40,36.6,58.9,69.8,10.3,47.3,32.0,-,39.5,37.1,10.9
1920,79915,ZCTA5 79915,1306,395,155,43,0,6481,34515,3658,13874,17404,20753,22186,30025,33297,34932,10125,3674,883,120,23,17,0,1584,9842,193,27.9,42.9,36.9,30.4,14.8,39.5,-,24.4,28.5,14.8
1921,79916,ZCTA5 79916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-
1932,79936,ZCTA5 79936,9770,2812,473,1466,409,7178,96755,4941,20450,28900,39532,42630,65693,83514,93622,15611,5774,1019,176,60,110,337,1120,14179,860,14.0,19.8,15.7,6.3,12.7,7.5,82.4,15.6,14.7,8.8
